activity_id,lead_id,type,date,notes
A0154,L047,Meeting,2025-04-12,Folla dottore trattare qualsiasi cadere scrittore indicare rimanere stare.
A0163,L049,Follow-up,2025-03-25,Domanda potenza padrone spettacolo consentire.
A0147,L044,LinkedIn,2025-04-07,Autore notare assicurare nazione meglio né ci fermo.
A0093,L029,Call,2025-04-12,Donna scappare interesse gruppo intorno uomo fine conoscere.
A0004,L002,Call,2025-04-14,Paese almeno decisione potere sorprendere operaio aiuto riguardare.
A0072,L023,Demo,2025-03-24,Caro prossimo avvocato noi piacere ferro carne programma.
A0112,L034,Demo,2025-03-16,Avere ufficio risolvere divertire costa.
A0028,L009,Email,2025-03-24,Pensiero suo pianta estate inutile oggetto.
A0088,L028,Meeting,2025-04-04,Relazione fratello attento difendere poeta bocca ognuno.
A0103,L032,Demo,2025-03-18,Porto prova neanche elettrico escludere ciò prova produzione.
A0155,L047,Follow-up,2025-03-25,Difendere attento ordinare istante.
A0211,L045,LinkedIn,2025-02-10,Sangue cucina amico da eh.
A0186,L058,LinkedIn,2025-03-30,Giustizia avvocato successo superiore vicino nuovo compagnia giovane.
A0118,L035,Demo,2025-04-10,Albero tutto meglio vendere creare fortuna aprire mantenere stanco.
A0206,L016,Call,2024-12-29,Calcio forte legge comporre potenza scegliere temere opporre possibilità europeo.
A0048,L015,Follow-up,2025-03-30,Scusare niente opera nord festa capace forza porre.
A0094,L029,Demo,2025-04-01,Gamba sapere dolce avvenire inglese insistere vostro concludere entrare.
A0100,L032,Follow-up,2025-04-02,Evitare dunque valere almeno conoscenza mezzo tardi camminare.
A0169,L053,Call,2025-03-19,Vendere peso mancare comodo salvare compagnia quadro malattia tecnico.
A0171,L053,Demo,2025-04-07,Proposta accompagnare meglio gettare passare.
A0017,L006,LinkedIn,2025-03-20,Bestia tagliare affare chiave sperare verde attraversare riva divertire.
A0160,L049,Demo,2025-03-23,Famiglia impressione ci gioco ricerca lontano sognare esempio proposta scopo.
A0131,L038,Email,2025-04-07,Facile forma tranquillo salvare dopo capace pranzo giorno vincere.
A0013,L005,Meeting,2025-04-09,Finestra rompere dolce abbastanza qualunque significare oggetto politico sotto.
A0187,L058,LinkedIn,2025-03-23,Domanda domanda chiesa commercio dove escludere.
A0034,L012,Meeting,2025-04-02,Cui assoluto senso sì esistere immaginare certo uccidere espressione mangiare bello.
A0194,L052,Follow-up,2024-12-16,Direzione cittadino infatti gioia labbro oro ognuno.
A0038,L012,LinkedIn,2025-04-02,Peso origine aiuto romano difficile carattere.
A0158,L047,Demo,2025-04-11,Oro posto fantasia esistere chiaro politico cui esempio assai ufficio.
A0050,L017,Meeting,2025-03-29,Fornire niente caldo dunque davanti.
A0044,L015,Follow-up,2025-03-25,Attorno avanzare papà atteggiamento dottore perfino ne fenomeno volto.
A0092,L029,Call,2025-03-23,Ricchezza consiglio fratello riuscire spalla.
A0102,L032,Meeting,2025-04-05,Lasciare su isola baciare preparare.
A0080,L026,Demo,2025-04-06,Tranquillo provincia mettere capitare avvicinare collo lago messa servizio base.
A0132,L039,Email,2025-03-26,Università scomparire elettrico egli pubblicare folla inverno discutere.
A0183,L057,Email,2025-04-07,Azione passato sbagliare provvedere avvenire cittadino provincia pericolo.
A0010,L004,Demo,2025-03-24,Scappare prova estero addosso immaginare da simile caffè udire pianura.
A0040,L013,Meeting,2025-04-02,Voglia muro scala buio spazio caso.
A0202,L056,LinkedIn,2025-01-26,Toccare rapporto mettere nemico fianco inizio.
A0185,L057,Demo,2025-03-28,No mese bisogno bagno neppure origine rivolgere sostenere addirittura.
A0141,L042,Meeting,2025-04-11,Gruppo battere visita lui trascinare.
A0115,L034,Demo,2025-03-27,Età puro raccogliere sorprendere vi casa.
A0152,L046,Email,2025-04-03,Giocare preparare pomeriggio muovere piuttosto fondo concedere motivo.
A0049,L015,LinkedIn,2025-04-09,Speciale qualche vento ottenere forse offendere costringere poesia da.
A0172,L053,Demo,2025-03-27,Tanto politica affatto montagna imporre affermare qualcosa morte effetto mattino processo.
A0178,L054,Meeting,2025-03-20,Concetto sogno affatto corso chiave.
A0175,L054,Demo,2025-03-18,Bastare giornata nemmeno arte accompagnare.
A0198,L043,Meeting,2025-01-09,Giallo levare pregare prima ciascuno zio macchina epoca tendere.
A0046,L015,Demo,2025-03-31,Importare sera grigio quello età età diritto.
A0149,L046,LinkedIn,2025-03-26,Letto scoprire quale grazie segnare regno offendere anzi fiume assoluto.
A0181,L055,Meeting,2025-03-28,Signora finire riportare università greco risposta amare.
A0081,L026,Call,2025-03-19,Segnare stasera togliere impossibile grazie giallo giugno.
A0002,L001,Demo,2025-04-03,Svolgere senza attività cominciare essere rendere.
A0008,L004,Meeting,2025-04-03,Sotto sentimento abbandonare spegnere lettera armare mi pazzo.
A0205,L059,Follow-up,2025-01-01,Ferire legare divenire sorriso modo personale origine parlare.
A0099,L032,LinkedIn,2025-04-14,Preferire ufficio gesto riferire o molto.
A0122,L036,Demo,2025-04-04,Centrale figlio lontano legare palazzo.
A0029,L009,Meeting,2025-03-26,Bambina epoca religioso comune cattivo muovere.
A0150,L046,Email,2025-03-20,Trarre attesa tranquillo americano immagine.
A0164,L050,Follow-up,2025-03-20,Qualità noi luogo spegnere figlio usare affare trattare valore camminare.
A0167,L050,Demo,2025-03-19,Gente importare normale cui chiesa distruggere.
A0203,L048,Call,2024-11-11,Dente gusto confronto però intanto alzare partecipare continuo ora.
A0018,L006,Meeting,2025-04-01,Principe piccolo sole sole sorella giorno facile puro ricordo spesa ampio.
A0027,L009,Meeting,2025-04-01,Risultato dedicare scendere croce considerare dire ricevere.
A0119,L035,Demo,2025-04-09,Economico accogliere breve causa diverso fuori guerra anzi argomento.
A0125,L037,Meeting,2025-03-19,Dividere poco vero offrire davvero argomento là minuto qualche.
A0090,L029,Call,2025-04-07,Scusare assoluto ritenere legare entrare annunciare.
A0047,L015,LinkedIn,2025-04-08,Presso loro bambino azione insomma recente.
A0192,L027,LinkedIn,2024-10-17,Unico lettera proprio interno elevare.
A0025,L008,Follow-up,2025-03-24,Determinare nuovo occasione volta epoca.
A0130,L038,LinkedIn,2025-04-13,Dunque esame trovare viso risolvere pronto prima.
A0091,L029,Demo,2025-03-23,Stato faccia estendere gridare sede lontano.
A0184,L057,LinkedIn,2025-04-01,Facile bravo accanto esso fretta domandare cattivo conseguenza.
A0139,L041,LinkedIn,2025-03-23,Fianco questo piazza puro adesso.
A0173,L053,Follow-up,2025-03-24,Scoppiare tacere breve bellezza chiudere contadino misura sede dolore.
A0066,L021,Email,2025-03-21,Meno estero lasciare arte servizio automobile sottile soluzione.
A0095,L030,Follow-up,2025-03-31,Avanti polizia essa padrone inizio.
A0015,L005,Email,2025-04-11,Soluzione impedire famiglia lo tardi giovanotto voi.
A0096,L030,Demo,2025-04-13,Forse anno speranza forte zio dormire vincere ufficiale attuale.
A0033,L010,Meeting,2025-03-24,Potere lingua passione tuo fermo.
A0174,L054,Meeting,2025-04-14,Autorità uso leggere difficile procedere escludere sereno avanzare.
A0101,L032,Demo,2025-04-14,Promettere costruzione parlare privato zitto controllo celebrare.
