order_id,product_name,category,quantity,unit_price_eur,unit_cost_eur,order_date
O0001,Security Assessment,Consulting,1,3800,1891.52,2025-02-18
O0002,Network Switch,Hardware,2,1500,1042.47,2025-03-15
O0003,Storage Array,Hardware,1,6500,4424.0,2025-02-10
O0004,Onsite Pack 10h,Support,1,2000,839.07,2025-02-19
O0005,Premium SLA,Support,1,1800,565.1,2025-03-05
O0006,Integration Hub,Software,1,2200,342.2,2025-02-12
O0007,Certification Prep,Training,1,2000,802.08,2025-01-13
O0008,Migration Project,Consulting,1,8500,4407.65,2025-02-22
O0009,Admin Bootcamp,Training,1,1200,493.51,2025-03-02
O0010,UPS Unit,Hardware,4,900,621.97,2025-03-25
O0011,Analytics Suite,Software,1,2800,362.58,2025-03-28
O0012,Workstation Pro,Hardware,4,2200,1583.4,2025-03-11
O0013,CRM License,Software,1,1200,182.36,2025-01-31
O0014,Developer Workshop,Training,1,1600,635.77,2025-01-12
O0015,CRM License,Software,1,1200,173.99,2025-02-26
O0016,Server Node,Hardware,1,4800,3269.47,2025-02-11
O0017,24/7 Coverage,Support,1,3600,1066.48,2025-02-15
O0018,Integration Hub,Software,1,2200,332.18,2025-02-22
O0019,Premium SLA,Support,1,1800,517.26,2025-01-23
O0020,Custom Course,Training,1,3000,1168.9,2025-03-29
O0021,Developer Workshop,Training,1,1600,637.51,2025-01-30
O0022,Workstation Pro,Hardware,1,2200,1564.07,2025-03-01
O0023,Custom Course,Training,1,3000,1148.86,2025-01-21
O0024,Custom Course,Training,1,3000,1216.67,2025-02-08
O0025,Process Audit,Consulting,1,2400,1241.44,2025-02-28
O0026,Security Package,Software,1,1800,259.38,2025-03-03
O0027,Workstation Pro,Hardware,5,2200,1521.53,2025-02-07
O0028,End User Training,Training,1,800,335.29,2025-01-03
O0029,24/7 Coverage,Support,1,3600,1087.12,2025-01-02
O0030,Basic SLA,Support,1,600,184.41,2025-03-19
O0031,End User Training,Training,1,800,323.43,2025-01-30
O0032,Network Switch,Hardware,5,1500,990.53,2025-02-02
O0033,Premium SLA,Support,1,1800,518.25,2025-03-22
O0034,Architecture Review,Consulting,1,3200,1646.18,2025-02-09
O0035,Analytics Suite,Software,1,2800,335.65,2025-01-17
O0036,Storage Array,Hardware,2,6500,4340.0,2025-01-26
O0037,Integration Hub,Software,1,2200,331.02,2025-02-16
O0038,Developer Workshop,Training,1,1600,666.5,2025-02-02
O0039,End User Training,Training,1,800,329.74,2025-02-13
O0040,Architecture Review,Consulting,1,3200,1640.66,2025-01-19
O0041,Storage Array,Hardware,5,6500,4457.6,2025-02-16
O0042,Security Package,Software,1,1800,263.64,2025-01-02
O0043,Analytics Suite,Software,1,2800,358.72,2025-03-28
O0044,Storage Array,Hardware,3,6500,4272.8,2025-01-14
O0045,Onsite Pack 10h,Support,1,2000,809.56,2025-01-04
O0046,End User Training,Training,1,800,311.08,2025-03-20
O0047,Security Package,Software,1,1800,264.66,2025-03-31
O0048,Network Switch,Hardware,1,1500,955.07,2025-01-05
O0049,Storage Array,Hardware,1,6500,4267.2,2025-01-13
O0050,UPS Unit,Hardware,2,900,596.59,2025-02-19
O0051,Security Assessment,Consulting,1,3800,1916.59,2025-02-23
O0052,Onsite Pack 10h,Support,1,2000,767.92,2025-03-25
O0053,Data Strategy,Consulting,1,4500,2144.86,2025-02-05
O0054,Storage Array,Hardware,4,6500,4368.0,2025-01-31
O0055,Admin Bootcamp,Training,1,1200,473.63,2025-03-29
O0056,End User Training,Training,1,800,316.74,2025-01-08
O0057,CRM License,Software,1,1200,172.65,2025-02-28
O0058,Integration Hub,Software,1,2200,315.17,2025-01-03
O0059,Network Switch,Hardware,5,1500,982.93,2025-01-27
O0060,Integration Hub,Software,1,2200,332.85,2025-01-27
O0061,Premium SLA,Support,1,1800,554.82,2025-02-12
O0062,Remote Pack 20h,Support,1,2800,1095.05,2025-01-01
O0063,Developer Workshop,Training,1,1600,624.04,2025-03-11
O0064,CRM License,Software,1,1200,171.27,2025-01-17
O0065,Premium SLA,Support,1,1800,530.48,2025-03-17
O0066,CRM License,Software,1,1200,184.35,2025-01-17
O0067,Architecture Review,Consulting,1,3200,1591.72,2025-03-02
O0068,UPS Unit,Hardware,1,900,602.56,2025-02-27
O0069,Security Assessment,Consulting,1,3800,1943.18,2025-01-06
O0070,Custom Course,Training,1,3000,1194.97,2025-02-08
O0071,Admin Bootcamp,Training,1,1200,496.67,2025-03-03
O0072,Architecture Review,Consulting,1,3200,1633.98,2025-03-04
